,country,code,anxiety,drugs,depression,alcohol,terroristActs,happiness,loggdp,life,suicide,gdp,population,actsToPop
0,Afghanistan,AFG,4.868561702,2.529084553,4.132656645,0.6613916,11916,3.806614304,7.435577822,52.22000008,9.669865967,1666.520056,30866926.64,0.038604426
1,Albania,ALB,3.389381525,0.505967014,2.206169117,1.832332501,11,4.988791466,9.247274589,67.10999985,5.236711488,10296.53892,2907084,0.000378386
2,Algeria,DZA,5.047533077,1.677835289,3.629537109,0.663349365,569,5.555003564,9.501794021,65.05333328,4.429595111,13199.83675,37670653.64,0.00151046
3,Angola,AGO,3.283057384,0.507699816,4.159706104,1.384604723,11,4.420298875,8.713989973,53.55000019,12.83984113,5963.917297,25215115.18,4.36246E-05
4,Argentina,ARG,6.272670927,0.969772198,3.652957102,1.870946156,18,6.41460384,9.837005182,67.69818185,10.89107002,18726.12458,42107927.55,4.27473E-05
5,Armenia,ARM,2.589305858,0.48424165,2.725510345,1.978587195,7,4.395535079,8.927347183,65.5909084,8.302815223,7564.62157,2903329,0.000241103
6,Australia,AUS,6.617359574,2.087496188,4.777846466,1.498791704,41,7.305929518,10.66347675,72.45999985,10.79807088,42647.45328,22735119.64,0.000180338
7,Austria,AUT,5.349314579,0.908977019,3.283739755,1.917353261,17,7.246875922,10.70095592,71.85333337,12.16087331,44200.566,8486223.273,0.000200325
8,Azerbaijan,AZE,2.573747212,0.471051555,2.558599055,2.299115183,12,4.918598522,9.657821655,63.82000004,4.541107489,15677.32985,9275291.545,0.000129376
9,Bahrain,BHR,4.649731251,1.713058166,3.957717464,0.737142303,166,5.860863315,10.64953306,67.17111121,5.048148,42251.26393,1281479.636,0.012953776
10,Bangladesh,BGD,4.261433363,0.503535495,4.193211812,1.437216206,975,4.736921657,7.907109651,61.56181786,6.838907804,2749.580605,155816959.3,0.000625734
11,Belarus,BLR,2.944530482,0.781647371,4.075577323,5.430539429,7,5.571209431,9.706051046,63.53636412,24.96535248,16472.76487,9495806.818,7.37167E-05
12,Belgium,BEL,5.209997439,0.822826141,4.095854517,1.45263134,14,6.997592401,10.63424988,71.07000122,15.62199723,41428.94958,11048129.36,0.000126718
13,Belize,BLZ,4.55341594,0.834085262,2.840309944,1.762831846,1,6.203145504,8.981056214,61.90999985,7.563876246,7918.093944,336618.1818,0.000297072
14,Benin,BEN,2.900385795,0.493805611,3.624220327,0.98974193,1,3.755365342,7.569149256,52.625,11.57521039,1906.458371,9763703.545,1.0242E-05
15,Bhutan,BTN,3.786881398,0.522569408,3.41391049,2.324270767,5,5.196599484,8.907667796,59.90000025,6.016536399,6935.540869,750695.8182,0.000666049
16,Bolivia,BOL,4.236679666,0.90467159,3.120868326,1.616335142,7,5.770644838,8.675209219,61.58181832,6.779611298,5889.21865,10242022.36,6.83459E-05
17,Brazil,BRA,6.299509834,1.037522519,3.473627757,2.70035386,16,6.720364181,9.577862913,65.01454509,6.022744345,14458.36317,200406419.8,7.98378E-06
18,Bulgaria,BGR,3.587494627,0.685388317,2.551591577,1.827903587,13,4.342786445,9.697286712,65.97777727,9.666543692,16116.28952,7309360.909,0.000177854
19,Burkina Faso,BFA,2.891694687,0.428267781,3.623947748,0.991316127,49,4.071825862,7.32624588,50.82000046,12.94927611,1511.698242,16631847.45,0.000294615
20,Burundi,BDI,3.570391904,0.493110717,3.753510431,1.577914372,264,3.491334439,6.650691986,50.29500008,13.30028915,758.8054063,9350056.727,0.002823512
21,Cambodia,KHM,3.28707329,0.555851321,3.112800324,0.832958781,4,4.154254892,7.954614119,59.03636378,4.748897662,2880.108038,14804523.82,2.70188E-05
22,Cameroon,CMR,2.898882183,0.578301902,3.748219798,1.029521121,313,4.550513831,8.033628204,49.1109092,15.02577224,3087.671983,21139210.91,0.001480661
23,Canada,CAN,5.15068877,2.222020554,3.937603243,1.597293466,44,7.447023999,10.64735326,72.51999872,11.03329847,42096.89523,34759435.36,0.000126584
24,Central African Republic,CAF,3.241114468,0.512093013,4.220171821,1.422339077,271,3.514954328,6.660464382,43.35600128,17.25276432,765.6275775,4477759.636,0.006052134
25,Chad,TCD,2.881690797,0.443691618,3.943036595,0.942414926,58,4.041943333,7.541726849,45.70181829,11.42131217,1889.073196,12759847.27,0.000454551
26,Chile,CHL,6.27287107,1.199721855,4.046159419,2.463836329,86,6.432590138,9.942488324,69.21272694,10.73063566,20859.3874,17294860.82,0.000497258
27,China,CHN,3.116487804,1.057277874,3.377219891,1.22118122,113,5.010271289,9.294344469,67.94727187,8.222297432,11175.46449,1351296364,8.36234E-06
28,Colombia,COL,2.54157164,1.096941549,2.23424058,1.739451352,1389,6.332665964,9.373893651,66.21636339,5.703354799,11825.36355,46816467.09,0.002966905
29,Croatia,HRV,3.45562912,0.74810367,2.793664857,2.085593253,5,5.549444437,9.948246766,68.22600021,12.58219395,21028.20028,4251388.364,0.000117609
30,Cyprus,CYP,5.305024345,0.563820896,3.295617128,1.107567886,21,6.05022743,10.36936188,72.82888963,4.743580799,32603.29505,1129338.273,0.001859496
31,Czech Republic,CZE,3.449817796,0.925283859,2.70228438,2.11787198,19,6.525561121,10.29502138,68.58222283,11.94674793,29431.62131,10486827.09,0.00018118
32,Denmark,DNK,5.316523274,0.863366504,3.284907854,1.777849754,8,7.666292407,10.71641749,70.89454512,9.357007336,45101.32221,5602078.273,0.000142804
33,Djibouti,DJI,3.533519821,0.516462243,3.580080427,1.588306149,3,4.82256496,7.866400838,54.00999928,8.651555067,2705.405589,882093.4545,0.0003401
34,Dominican Republic,DOM,4.543021311,0.648140988,3.032992742,1.579085833,3,5.140791286,9.383983179,64.22909026,8.074529449,11980.6901,10147271.27,2.95646E-05
35,Ecuador,ECU,4.296424356,0.66603549,2.964638352,1.775382383,13,5.799285152,9.210378127,67.14727367,9.997936902,10024.79009,15417723.09,8.43185E-05
37,Estonia,EST,2.966249513,1.127076754,3.970247148,4.930040306,3,5.491287661,10.17953701,67.13399963,15.30010169,26095.78662,1325001.636,0.000226415
38,Ethiopia,ETH,3.705550912,0.486819093,3.858575041,1.837296453,77,4.427326918,7.290064176,56.65000026,10.79769009,1259.084643,92662120.73,8.30976E-05
39,Finland,FIN,3.745098393,0.903498317,4.928289366,2.771321176,16,7.507061482,10.59810628,71.06444465,14.85187533,40180.61863,5408192.455,0.000295847
40,France,FRA,6.662720448,1.208190763,4.311290042,1.472918809,251,6.630006027,10.53164072,72.70599899,14.09310299,37511.90769,65636520.91,0.000382409
41,Gabon,GAB,3.289844128,0.573589939,4.068280079,1.485893421,4,4.317282847,9.709985324,57.44285747,12.97195824,16106.34216,1757688,0.000227572
42,Georgia,GEO,2.599053664,0.471800047,2.788384731,2.03643678,81,4.170978871,8.949418415,64.92545457,6.485513258,7802.420035,3764809.364,0.002151503
43,Germany,DEU,6.567078677,0.895554874,3.936801336,1.989106186,173,6.77844299,10.6536137,71.08727403,9.827250385,42387.7158,81555065.82,0.000212127
44,Ghana,GHA,2.914444614,0.605039056,3.379532427,0.997221958,2,4.769248572,8.145166224,54.83272726,9.858483069,3485.233255,25745602.18,7.76832E-06
45,Greece,GRC,5.79860033,0.531023221,4.285327761,1.128167184,450,5.454335642,10.16980162,71.63000031,3.463802491,26763.80913,10973871.91,0.004100649
46,Guatemala,GTM,2.895952972,0.681056472,3.31355957,2.70333043,7,6.250405962,8.85113378,62.81454502,6.599646262,6987.300646,15285584.18,4.57948E-05
47,Guinea,GIN,2.894053143,0.440448784,3.543620762,0.938119255,5,3.855952944,7.477948666,51.25714275,11.06580894,1696.574172,11330359.91,4.41292E-05
48,Guyana,GUY,4.520811772,0.716557384,4.212780691,2.049217471,4,5.992826462,8.577043533,57.25999832,27.64694961,6375.897223,757252.0909,0.000528226
49,Haiti,HTI,4.504126824,0.623270079,2.965677484,1.659587328,3,4.014116208,7.382705476,45.93111081,8.848795658,1608.317963,10281139.55,2.91796E-05
50,Honduras,HND,2.858301804,0.68982834,2.736479393,1.765889619,14,5.296610615,8.333636978,65.9236367,4.524879976,4165.635358,8497585.364,0.000164753
51,Hungary,HUN,3.460781781,0.716149774,2.768764148,2.17467516,6,5.11279645,10.07676888,66.04000015,16.94740761,23819.29653,9928481.545,6.04322E-05
52,Iceland,ISL,5.284909514,0.695175048,3.363370282,1.218965665,2,7.410776297,10.67408959,72.81999969,9.766393215,42163.19022,324186.7273,0.000616928
53,India,IND,3.292865608,0.508856383,3.568224392,1.193888554,7703,4.587088672,8.485490192,57.96181835,16.60643006,4921.923659,1261564346,0.000610591
54,Indonesia,IDN,3.2735162,0.571978328,2.620575847,0.640185844,240,5.232155106,9.124274254,60.8781818,3.322813041,9252.716069,248730553.5,9.649E-05
56,Iraq,IRQ,4.70063446,1.701831101,3.752707917,0.653369845,22576,4.645033121,9.557255554,58.98799972,5.226854295,13976.19988,33013171.91,0.068384825
57,Ireland,IRL,5.816358054,1.065498728,4.318475286,2.108221091,163,7.055235672,10.82520132,71.67799988,10.01435321,50762.5093,4610345.636,0.003535527
58,Israel,ISR,3.068227661,0.69329961,4.009012689,0.513585077,823,7.240806016,10.33262868,72.4163638,6.347932927,30754.13106,7926272.727,0.010383191
59,Italy,ITA,5.606268202,1.301047012,3.44983753,0.464833837,69,6.179605657,10.48132524,72.8472727,5.241001526,35672.3438,59770442.36,0.000115442
60,Jamaica,JAM,4.571237167,0.949449972,2.566794787,1.438419062,4,5.570907712,8.998644352,66.59000015,3.262991153,8186.867087,2837713.455,0.000140959
61,Japan,JPN,3.552486131,0.88970475,3.189859574,0.570736354,21,5.99169393,10.51276242,74.17090954,17.28260287,36803.54186,127571391.6,1.64614E-05
62,Jordan,JOR,4.903718384,1.547357531,3.57638745,0.652492136,29,5.34165235,9.105462074,65.30545425,3.394080559,9018.698431,7981296.545,0.000363349
63,Kazakhstan,KAZ,2.601450524,0.642030025,3.526855253,3.522553261,17,5.742584922,9.978482506,61.27272762,27.51119165,21645.41798,16783695.27,0.000101289
64,Kenya,KEN,3.621884719,0.477608156,3.552500885,1.255952466,586,4.363566767,7.870379231,56.21636408,11.89147499,2627.699897,43745812.36,0.001339557
65,Kuwait,KWT,4.87645648,1.570682574,3.57133946,0.681194257,4,6.314388063,11.20044019,65.48222266,2.731154238,77323.51398,3369556.364,0.00011871
68,Latvia,LVA,2.943817755,1.026691903,3.505274932,4.464827041,2,5.317084169,9.986766339,65.12399979,18.81014953,21486.16942,2054240,9.73596E-05
69,Lebanon,LBN,6.05337744,2.106443419,3.774724707,0.656398552,553,5.040588713,9.584735107,65.51399917,4.830899417,14463.82507,5003860.636,0.011051467
70,Lesotho,LSO,3.472895329,0.757526242,5.607586463,1.671584275,2,4.16700681,7.897970835,46.54666646,34.17170273,2515.796562,2097365.636,9.53577E-05
71,Liberia,LBR,2.871313039,0.506951678,3.77734714,0.946167097,4,3.881570816,6.593977928,52.49714225,13.35817768,739.6095314,4155426,9.62597E-05
72,Libya,LBY,4.968135065,2.513758663,3.788887428,0.684649878,2235,5.612558603,9.77246976,62.38999939,7.902314075,21526.27731,6182572.182,0.036150003
74,Madagascar,MDG,3.557305354,0.492191326,3.695276257,1.506941551,7,3.924694806,7.242560327,57.15250015,11.32247479,1405.262664,22408341.45,3.12384E-05
75,Malawi,MWI,3.61763553,0.50080041,3.368170694,1.610150476,1,4.180418544,6.95131694,52.85333294,12.72924985,1036.069849,16150190.36,6.19188E-06
76,Malaysia,MYS,4.441756896,0.657754231,3.425949847,0.644157843,58,5.86295149,9.999565336,65.76000044,7.545493604,22836.72888,29157235.91,0.000198921
77,Mali,MLI,2.881267452,0.432850985,2.950148511,0.901227427,532,4.182438564,7.536051464,49.26399994,6.740168393,1867.427966,16044413.55,0.003315796
78,Malta,MLT,5.318176287,0.869358253,3.343946313,1.101890114,5,6.325672203,10.34483009,71.90888723,4.543576553,30666.69325,428028.8182,0.001168146
79,Mauritania,MRT,2.922094529,0.490704782,3.036969631,0.923846579,11,4.443878044,8.153105649,55.1563634,6.673380069,3476.411752,3845234.636,0.000286068
80,Mexico,MEX,3.18225261,0.793038299,2.770661604,1.72321641,99,6.812950871,9.704916694,66.9581819,5.804813582,16409.05934,120690260.5,8.20282E-05
81,Moldova,MDA,2.883094571,0.637484851,3.437849375,3.995303187,3,5.618514971,8.364507935,62.11999963,15.52835282,4323.442009,3560399.364,8.42602E-05
82,Montenegro,MNE,3.42828635,0.618975974,2.578037314,1.845379225,4,5.229509545,9.59148922,67.44000015,10.17942999,14655.04644,620099.8182,0.000645057
83,Morocco,MAR,4.983329112,1.577953033,5.615908117,0.571957805,8,5.063140597,8.852138792,64.52857154,7.89827349,6754.035912,33397947.55,2.39536E-05
84,Mozambique,MOZ,3.635782004,0.516889104,3.881858614,1.686705367,140,4.65739212,6.877440071,48.88400039,17.56212304,993.8365337,25777452.64,0.00054311
85,Myanmar,MMR,3.29708579,0.568638646,2.266992309,0.866546454,326,4.400360902,8.489503702,57.89000066,5.549459987,4210.985196,51107213.45,0.000637875
86,Nepal,NPL,3.843286689,0.494160977,3.701397584,1.495469024,828,4.611482165,7.646209413,59.68181853,8.603561447,2102.814937,27698601.82,0.002989321
87,Netherlands,NLD,6.548739303,0.945029268,4.034057125,0.738867436,16,7.467129946,10.74432192,71.62999954,8.988504605,46262.44215,16744734.55,9.55524E-05
88,New Zealand,NZL,8.577138027,2.052536474,3.991777791,1.888024997,7,7.320640421,10.42781143,72.26000061,11.52355258,33667.28772,4451236.364,0.00015726
89,Nicaragua,NIC,2.906905166,0.577543527,2.863960367,2.070422214,2,5.671080416,8.407124953,65.89636438,6.826770562,4503.002251,5874102.909,3.40478E-05
90,Niger,NER,2.882995656,0.450101379,3.444497755,0.907783692,114,4.150382714,6.746215734,50.30363603,7.578802555,852.5899548,17868592.27,0.000637991
91,Nigeria,NGA,2.90009424,0.452877327,4.127929963,0.95474494,3748,5.039412181,8.549272537,47.00888909,7.644582629,5228.252212,167842428.7,0.002233047
92,Norway,NOR,7.610727939,0.88899476,3.642004865,1.428013264,5,7.588924249,11.06653023,72.57999929,10.14477206,63559.09663,5007632.091,9.98476E-05
93,Pakistan,PAK,3.809636426,0.674367251,3.329630766,1.505796638,12066,5.295884046,8.409403628,56.59090909,4.742190527,4495.868403,178231084.8,0.006769863
94,Panama,PAN,2.87887217,0.715327855,2.661894053,1.399400025,2,6.825151444,9.792535868,68.72727273,5.582235924,18112.43608,3774345.909,5.29893E-05
95,Paraguay,PRY,6.0020513,0.530572455,2.93353815,2.32606503,79,5.626024159,8.948260654,64.70727296,5.921740822,7742.323735,6383458.182,0.001237574
96,Peru,PER,4.257452393,0.588086084,2.26920877,1.457687652,58,5.620821996,9.271659071,66.66000019,3.488118243,10699.78883,30189443.36,0.00019212
97,Philippines,PHL,3.254079849,0.633962481,2.735797744,0.890256857,4468,5.122003772,8.716324459,60.97272734,5.646440115,6151.616016,96970490.09,0.004607587
98,Poland,POL,3.460564158,0.80926805,2.272103,2.020372376,4,5.893411207,10.05938244,67.74000015,15.56888169,23200.20192,38050035.55,1.05125E-05
99,Portugal,PRT,5.373180615,0.683365865,4.673558008,1.286474036,2,5.283228344,10.19394101,71.36888885,8.619155169,26825.50286,10468825.18,1.91043E-05
100,Qatar,QAT,4.352725689,1.909024727,3.503912083,0.731138166,1,6.568981838,11.72191887,67.18799896,4.904065603,121254.6912,2029681.727,4.92688E-05
101,Romania,ROU,3.232717584,0.450920718,2.339383792,1.718401848,1,5.450483179,9.864530563,65.74400024,9.898372302,19287.1103,20112295.36,4.97208E-06
103,Rwanda,RWA,3.677355296,0.587044333,3.865817666,2.342680315,27,3.645530383,7.347794638,57.59555562,11.93589853,1510.868974,10804614.45,0.000249893
104,Saudi Arabia,SAU,4.74649877,1.607117354,3.495203963,0.674770689,313,6.50146441,10.7809046,64.83818193,2.949569315,48143.895,29099738.73,0.001075611
105,Senegal,SEN,2.892544103,0.468206242,3.303465452,0.917898262,30,4.319127191,7.709958814,56.88363647,12.75237707,2232.621306,13768608.09,0.000217887
106,Serbia,SRB,3.405836886,0.452135723,2.594538794,2.020895522,12,4.996874857,9.477911186,66.63999939,14.24747377,13063.27096,7204226.455,0.000166569
107,Sierra Leone,SLE,2.879062298,0.481661612,3.585421748,0.931508266,4,4.218152576,7.197550085,45.00666682,10.11564841,1337.408149,6774475.636,5.90452E-05
108,South Africa,ZAF,4.002343207,1.007214149,3.716717124,1.622445094,101,4.831447666,9.402387272,52.45272688,13.40668469,12119.79386,53131576.45,0.000190094
110,South Sudan,SSD,3.516016272,0.495760393,3.677007895,1.552254386,225,3.401874602,7.487881183,50.40999985,12.26787113,2040.967832,10774722.82,0.002088221
111,Spain,ESP,5.257793049,1.428924498,3.470040105,0.89307936,90,6.456440362,10.39130792,73.10181774,5.846868029,32598.98807,46387182.09,0.000194019
112,Sri Lanka,LKA,3.360389675,0.6646763,3.461787177,0.998199059,359,4.301492476,9.140400505,66.29199982,21.42110485,9617.619588,20522370.64,0.001749311
113,Sudan,SDN,4.878085078,1.346764071,3.784793809,0.644719424,827,4.378741169,8.218047142,54.33199997,5.241631556,3856.208489,36161809.27,0.002286943
114,Sweden,SWE,5.304430273,0.653518609,4.533986119,1.771330879,79,7.37085143,10.69377379,72.03272872,11.71708072,44111.50804,9553583.182,0.000826915
115,Switzerland,CHE,5.3562185,1.028553162,3.764559632,1.386442068,8,7.549630563,10.94558811,73.09999975,11.0699763,56534.54747,8005579.182,9.99303E-05
116,Tajikistan,TJK,2.516004703,0.458095837,2.545957982,2.236691495,16,4.830044963,7.752134453,62.60545523,5.440793519,2348.241536,8012097.455,0.000199698
117,Tanzania,TZA,3.600550761,0.510199303,3.664006892,1.539698359,43,3.6969013,7.720826106,53.62727252,8.716924523,2267.177283,49294929.18,8.72301E-05
118,Thailand,THA,3.319969614,0.814868673,3.098525407,0.880756856,3186,6.137030992,9.557915861,65.86909207,10.39676755,14209.45349,67756783.91,0.004702112
119,Trinidad and Tobago,TTO,4.625738484,0.723886676,3.340664351,1.725221779,5,6.393689156,10.33392406,62.73500061,10.63461469,30849.68898,1340695.091,0.000372941
120,Tunisia,TUN,5.058113264,1.641010372,3.910518093,0.650833725,94,4.809179094,9.262852351,65.684444,3.269481356,10416.49229,10898438.64,0.000862509
121,Turkey,TUR,3.906835975,1.476498742,3.761391694,0.770670768,1614,5.358348543,9.925149309,64.85818204,3.202172695,20613.71318,74820873.91,0.002157152
122,Turkmenistan,TKM,2.558870143,0.510887842,2.828871973,2.75519148,1,5.7387622,9.488486171,60.65499974,9.446767959,12172.45342,5287398.182,1.89129E-05
123,Uganda,UGA,3.493134554,0.536308365,5.115906365,1.289730149,64,4.26504794,7.359551646,51.83818193,12.93456346,1574.553491,36474973.82,0.000175463
124,Ukraine,UKR,2.938432118,0.679412065,4.152558365,4.900063011,1678,4.733970035,8.994462447,62.68000031,22.86958191,8068.582132,45612936.91,0.003678781
125,United Arab Emirates,ARE,4.225729907,2.987545588,2.870521617,0.76394583,5,6.877728833,11.04198859,66.50888909,5.153044332,64830.05399,8395412.636,5.95563E-05
126,United Kingdom,GBR,4.659258891,1.728100279,4.120148737,1.894905365,822,6.872140321,10.53945888,71.38363578,7.361608717,37795.47276,63692764.82,0.00129057
127,United States,USA,6.704947822,3.12063051,4.783422844,2.016319387,300,7.119617592,10.84295134,68.54000022,12.12612106,51199.77145,313662027.1,9.56443E-05
128,Uruguay,URY,6.296701347,0.940250465,3.549156633,1.148361191,1,6.260119005,9.794394406,68.26909083,16.75845207,18052.5582,3397272.273,2.94354E-05
129,Uzbekistan,UZB,2.551560707,0.470200216,2.888154261,1.985979218,3,5.770105743,8.497780323,63.6579998,9.579333991,4839.314033,29649945.45,1.01181E-05
131,Vietnam,VNM,2.039474574,0.67156071,2.891451686,1.702387692,2,5.293232354,8.482979774,66.83090904,7.62391956,4885.63019,90567992.18,2.20829E-06
133,Zambia,ZMB,3.572638607,0.501512992,3.539895475,1.631418485,2,4.671472383,8.118687534,51.22400017,13.28463818,3365.302677,14785447.73,1.35268E-05
134,Zimbabwe,ZWE,3.091497435,0.759336716,3.130455054,1.511016655,15,4.085842436,7.421449705,49.39272725,30.11525988,1692.025446,14800606.09,0.000101347